2025-04-27_23-55-31,Execução Livre,draft.go:2025-04-27_23-55-31
2025-04-27_23-55-42,037%,draft.go:2025-04-27_23-55-31
2025-04-27_23-56-30,037%,draft.go:2025-04-27_23-56-30
2025-04-27_23-57-44,037%,draft.go:2025-04-27_23-57-44
2025-04-27_23-58-08,037%,draft.go:2025-04-27_23-58-08
2025-04-27_23-58-49,000%,draft.go:2025-04-27_23-58-49
2025-04-27_23-58-49,000%,draft.go:2025-04-27_23-58-49
2025-04-27_23-58-57,037%,draft.go:2025-04-27_23-58-57
2025-04-27_23-59-39,Execução Livre,draft.go:2025-04-27_23-58-57
2025-04-28_00-01-47,037%,draft.go:2025-04-27_23-58-57
2025-04-28_00-01-49,037%,draft.go:2025-04-27_23-58-57
2025-04-28_00-02-18,037%,draft.go:2025-04-27_23-58-57
2025-04-28_00-02-22,Execução Livre,draft.go:2025-04-27_23-58-57
2025-04-28_00-03-22,000%,draft.go:2025-04-28_00-03-22
2025-04-28_00-06-14,Execução Livre,draft.go:2025-04-28_00-06-14
2025-04-28_00-07-54,000%,draft.go:2025-04-28_00-07-54
2025-04-28_00-08-17,000%,draft.go:2025-04-28_00-08-17
2025-04-28_00-09-06,000%,draft.go:2025-04-28_00-09-06
2025-04-28_00-11-01,000%,draft.go:2025-04-28_00-11-01
2025-04-28_00-11-37,000%,draft.go:2025-04-28_00-11-37
2025-04-28_00-12-09,000%,draft.go:2025-04-28_00-12-09
2025-04-28_00-12-43,025%,draft.go:2025-04-28_00-12-43
2025-04-28_00-12-51,025%,draft.go:2025-04-28_00-12-51
2025-04-28_00-13-04,000%,draft.go:2025-04-28_00-13-04
2025-04-28_00-15-13,037%,draft.go:2025-04-28_00-15-13
2025-04-28_00-16-39,037%,draft.go:2025-04-28_00-16-39
2025-04-28_00-16-56,037%,draft.go:2025-04-28_00-16-56
2025-04-28_00-17-28,025%,draft.go:2025-04-28_00-17-28
2025-04-28_00-19-10,025%,draft.go:2025-04-28_00-19-10
2025-04-28_00-21-03,037%,draft.go:2025-04-28_00-21-03
2025-04-28_18-37-11,100%,draft.go:2025-04-28_18-37-11
2025-04-28_18-38-47,037%,draft.go:2025-04-28_18-38-47
